dataset,n,capacity,algorithm,avg_ms,value
github-01,400,1000000,greedy,0.058,602021
github-01,400,1000000,dp,757.835,602022
github-01,400,1000000,backtrack,1115.631,602022
github-02,800,1000000,greedy,0.116,603977
github-02,800,1000000,dp,1516.947,603984
github-02,800,1000000,backtrack,9639.920,603984
github-03,1000,1000000,greedy,0.161,605344
github-03,1000,1000000,dp,1943.524,605344
github-03,1000,1000000,backtrack,19472.562,605344
github-04,400,1000000,greedy,0.057,602021
github-04,400,1000000,dp,765.720,602022
github-04,400,1000000,backtrack,1135.998,602022
github-05,400,100000000,greedy,0.055,60002143
github-05,400,100000000,dp,81480.736,60002144
github-05,400,100000000,backtrack,1134.400,60002144
github-06,400,10000000000,greedy,0.056,6000001937
github-06,400,10000000000,dp,N/A,N/A
github-06,400,10000000000,backtrack,1114.645,6000001946
